,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,name
0,0.0025248626394277,0.2009587621821521,0.9435387147992405,0.3113608815044895,0.2982005342165908,0.8484207666037096,-0.5843615270932216,0.5937827614819388,-0.6675680819212461,0.0284209423835197,0.0732740678063557,0.3859292021815428,0.926213499643344,0.5571267130570476,0.5243952926229368,0.8365941931356675,0.1098160722891878,0.0481611567627945,0.7902432920281485,0.3302367997538681,0.9790940714197908,0.3846163569742306,0.3165008724852215,0.0789952079919488,0.2541743276988771,0.4171094679825206,-0.7465358750172116,0.7094994997943012,0.3905347334094536,0.2226667428407009,-0.2623055761665948,0.9074237050886588,0.4772732906835614,0.5841993141654951,0.8446720441418293,0.6387069924495355,0.1993308140361409,0.5534989065173006,0.3057722597513412,0.3432198198186362,-0.5197303567836415,0.7620892625175401,-0.4691379399690718,0.5597974893787658,0.3478532208685527,0.3301533595192275,0.093663417166898,0.2552043986646919,0.4696505993505017,0.9060963027286194,0.1673648897274612,0.1473566873629713,-0.7452001786002066,0.2505612285059889,0.2501333806775946,0.9430269675201824,0.3225488195714571,0.5501142225939663,0.301084557019535,0.7444477818269611,-0.2950408906373389,0.8709067509585813,-0.2868905504679462,0.6474492369518867,0.7755227717561965,0.2324132809341754,0.1320579042775633,0.4819946600296513,0.4008753042696281,0.8321443829100121,-0.2806613090808559,0.8380927145439502,0.2907640416382793,0.8237395489033101,-0.7191617008452729,0.620624593680695,-0.8798863958221103,0.4864453094613308,0.3277268746885125,0.6042103851734842,0.0671726505542846,0.4575057020028873,0.3022597721088893,0.4749528087405938,0.5612755302946859,0.0111884077199945,-0.6221707388233337,0.0790894637047596,0.952397953599774,0.2513119769829978,0.8057586918743099,0.5101479258337658,-0.9080357223148552,0.7494874527313836,-0.4515954530990412,0.1095661004910378,0.1571681203648358,0.4830699353123495,0.7301624396419207,0.1181151446687238,-0.2108553987124399,0.9770954456373262,0.7999615750960154,0.7655874087002364,0.2932654654466337,0.9671060850098084,0.3905758071790833,0.6835282283124351,0.5148952510615752,0.1574877199858652,0.6496618261741378,0.9196968179242196,0.0485456191578402,0.5516754833328704,0.9618890489928796,0.9681023945488434,0.2318883957410706,0.687196744707599,0.4819265825966597,0.778384121452256,-0.5285778705299793,0.4320354748690533,0.3585327867609468,0.9311907137035556,-0.1330605151329852,0.3322171544613231,-0.8262767462319512,0.0145197017747629,0.517155208158836,0.8208977640895708,0.2600318880624867,0.3610729443671874,0.1691434031135691,0.7792704705135566,0.042178424581274,0.2590680386898923,0.5786318722925472,0.959456145609074,0.1251747591997654,0.1416539319658209,0.6671383751680017,0.6332963399584594,0.5342691311354092,0.8484163250897125,0.938609196112767,0.9372592692322436,0.8599793606785564,0.1626640942176888,-0.8068655818545195,0.8888646755451883,-0.850643912980117,0.9018425676386376,0.5845958358676038,0.0519832690628224,-0.4665344860933194,0.0331256263175669,0.7757713758681973,0.2281041726125916,0.7270644521475936,0.7661589586989073,0.1872580698230647,0.6186525520125116,0.7029837111620365,0.8562844125091742,Max. Ethiopia Hydropower
1,0.0027702201876852,0.7665926714903016,0.2506283155852972,0.3112866013655765,0.2897129662367191,0.8279330298620734,-0.5897416152611754,0.4426590997900251,0.3172018918342774,0.0270303164618692,0.0699940439932326,0.3858943885459243,-0.4233833590220748,0.2029663898952635,0.5401765156325242,0.9631852912730456,0.6161174473889101,0.0229452771680807,0.6806241576218862,0.16470237726978,-0.7148771323570109,0.347957081868358,0.3580271480835908,0.0439221379290258,0.2287307529804467,0.264206421331259,-0.4391611598428182,0.7882862187682561,-0.8908527672800879,0.2071119302035552,-0.94293734298126,0.9167094793195656,0.4568668020643481,0.5383670527527403,0.6008237148987691,0.6375475691384105,0.2294999271134767,0.5483981102542148,0.0635357107957737,0.9174075495066908,-0.5252747841430416,0.7653613330917792,-0.0545710057198427,0.5654109434737108,0.3287081547335041,0.5747363618949614,0.0648529876789087,0.2182190671557136,0.5885980489402274,0.8960733034704217,0.1605122725609307,0.1306254930919173,-0.2916097204063693,0.2541516936192234,0.3965213732194882,0.934736330924016,0.1825593588449685,0.2443415664343542,0.2703676858895943,0.7152141084491271,-0.2834527092787511,0.8869970131794364,-0.4127673216442525,0.6599311239832232,0.3732763456163483,0.8751466097458609,0.1183427250865368,0.4758338232260919,0.3978687001389579,0.8120460186170959,0.7431632980187183,0.8267248163460813,0.8236318598807447,0.5008892905449718,0.0349679127511324,0.199948735766643,-0.8807670763650705,0.3650780333547481,-0.1741318272746597,0.5787330713464117,0.081026959911557,0.4573207376108058,0.3238789340678037,0.4745096135852286,0.5762993824944334,0.0408507439968347,-0.6170783675634506,0.5166777352830627,0.9476023897850044,0.2534016377377057,0.802571792516893,0.5100621091613148,-0.999971037223661,0.7854697064094586,-0.3492614444903059,0.1037814843821349,0.0509472642268947,0.6018547502480728,0.7473411708408005,0.125103290912931,-0.1795142485761257,0.8226621692081526,0.6853714329189662,0.7351585430572294,0.2082855138979594,0.4223099619035899,0.3747671792583664,0.2876360887483341,0.5148031918783557,0.1548975863113461,0.4679741456437223,0.7181325386308772,0.1490877935781815,0.5695851205214872,0.2189497040961525,0.7288014815669135,0.1252696109441425,0.6864466453343723,0.515499385170164,0.6964367551073788,0.5634446793895317,0.4909856723958886,0.427860566771713,0.9313927315789812,-0.1379821932573889,0.7188148194544206,-0.2679255501512662,0.0264837517027306,0.3819676314930441,0.827979381453717,0.127470574774365,0.3472964431932034,0.1852660680940076,0.5579517839393059,0.0558391946513952,0.4424079965785027,0.5957040206928543,0.4938036113319141,0.1188063213776965,0.1943128497570182,0.664420100598786,0.4942167913728734,0.281651613712336,0.2283953864161782,0.9461295356399152,0.8558581804202716,0.8189772551982292,0.2020312132878162,-0.9267319820067744,0.7906129341814835,-0.6256568535271527,0.347947053725424,0.5682424789171813,0.1079612445652083,-0.459908975781373,0.0018620994152522,0.7586674616551669,0.1054066273047287,-0.0617804798404024,0.6877399855801695,0.1867325599887653,0.6175080575448444,0.7260784481928969,0.0666272290909579,Min. Egypt Irr. Deficit
4,0.0833975657390413,0.8116153028359908,0.4484260481497498,0.3111805651480182,-0.648169537759319,0.8483856706646383,-0.5485151581361534,0.1216247701675575,-0.5757603744646619,0.0179669489426367,0.0779581989982319,0.3870145070518451,0.5588224102104492,0.2120501914301845,0.5720655331700829,0.9552038745881776,0.1222647266084991,0.7528508818997015,0.7149077908915475,0.2853835787302671,0.9651823394882008,0.3862740727992501,0.3162805573027843,0.0450091516709097,-0.1906267031745378,0.256138166437961,-0.8532677408976399,0.7881396987692072,0.6665066050791636,0.2090400558010603,-0.8294654041748899,0.4323285721299987,0.4616058144104072,0.5420496020881075,0.6602292602981643,0.6223330751034525,0.2318062517737783,0.1300590315607436,0.1132901871298785,0.9369343259101288,-0.5151879004212324,0.7588283489288149,-0.1822080285852031,0.5532092905092244,0.3294804362975941,0.5756932799327333,0.0947017371501548,0.2492734416871025,0.510240054587425,0.9138964937323532,0.1638280319953616,0.1399029271327617,-0.7571356697402996,0.2541780335362673,0.4078596808986929,0.9328229909097236,0.1735198106836523,0.2515254610017075,0.318391811622903,0.5164296347630364,-0.2826846372401248,0.9299267532216527,-0.4074769820748732,0.6602248179589154,0.3890866940315353,0.2424076371817157,0.0061213108213265,0.4831740557429477,0.4027877093247256,0.8113589440382517,-0.395576247532196,0.8352131109786107,0.7857975924511771,0.5248079636361034,0.0353906094859646,0.6151408760066336,-0.8186567233497396,0.4519703244752656,-0.2319062751660252,0.356614260977305,0.0737094522350779,0.4566008909568184,0.3256174066715434,0.4723490550786484,0.5761890401411615,0.4453948714257051,-0.6347207270870499,0.4985174941645902,0.9426335845894068,0.2578049068545098,0.803851557391073,0.5095277554453623,-0.9259459104037306,0.767402547664725,-0.3670233390361483,0.1154857682353262,0.5639620760128948,0.5960568139622614,0.7473199183796905,0.0545198260853556,0.1924885578819146,0.8233370752669232,0.7980265697763756,0.7344025702141903,0.056464582899982,0.428112918030794,0.2846212482766591,0.6921949099772099,0.5146451364358774,0.1575186618086054,0.465622232949236,0.9693419802168692,0.1797378797469146,0.5736601873457685,0.9636060178401392,0.741629746692188,-0.2519939876110683,0.6867844348717302,-0.1127508089631315,0.491087449174117,0.7203839339808455,0.4919353243892297,0.3281846505746894,0.7887544338389368,-0.1565921009527256,0.3436642063872609,-0.0618439796101271,0.0315958260826805,0.3901250320460238,0.7888370549240169,0.1938321495993603,0.351818626994432,0.2121332594707037,0.7236310314750297,0.0575722395100221,0.7678986363233415,-0.5774863445282747,0.9140982936718756,0.1455543338222614,0.1291757766416444,0.6643194862960415,0.5253375053234496,0.5325607895376486,0.2285503465643518,0.9337104374548636,0.9255472982035068,0.0305830327724647,0.1915585246840123,-0.6764652951933429,0.8871137408660654,-0.6257977499739851,0.3030559393685182,-0.4313519542894428,0.0542567064114802,-0.4685169808481844,0.0016873309510893,-0.3552233164942963,0.1098731317871043,0.6923960300135791,0.6593889960189199,0.1866547811718472,0.6183401244381259,0.9281539043628084,0.1310122155619694,Min. Sudan Irr. Deficit
6,0.0004292213987523,0.8148083066838098,0.8908506686918143,0.30051970333078,0.4808079050532439,0.8474210582780771,-0.5857567692912687,0.4407934842409226,0.3678242095278133,0.0326756136855657,-0.61552546844533,0.3867113596762253,0.8996567396345367,0.5725125507223474,0.5375550874515469,0.9392806206264558,0.1262145832885213,0.017869158368639,0.837339155337067,0.1589054184396718,0.965476809264842,0.3826443683275963,0.318342664201885,0.0452191685849471,0.2275069082005962,0.2647850185090999,-0.515028686852964,0.766189016988887,0.4104963953295417,0.5795381012512071,-0.9115650469953408,0.4937697252573055,0.4775666724489955,0.5808950194613899,0.5985209380220291,0.6372510290032162,-0.8794798860509419,0.3140808812497943,0.1157006880793738,0.8808486335194632,-0.5149860530081997,0.8191007264648485,-0.156902896828723,0.5516767838579628,0.2658768688557513,0.5782925699451558,0.1989568750084483,0.2520822778812939,0.5876204074427686,0.8770971754300698,0.1723074623228834,0.137953232269153,-0.3153430160907924,0.2541575072023164,0.4074180961430814,0.9454347243904336,0.178278181927924,0.2482830212088659,0.5377855953157004,0.7539205737195819,-0.2964563608333848,0.7187339878728953,-0.4146484769637361,0.6457745754058628,0.7831698983994372,0.2544797161060656,0.1292260971391669,0.4904925812357004,0.9831834521871676,0.8217745321124073,-0.2820465461397631,0.862391374693223,0.7867393291705618,0.5064085594158069,0.0421188321180609,0.6151249987703514,-0.9189989970786075,0.4560719756277759,-0.1404620328612945,0.5865920541422174,0.0292295726344256,0.4562441964217054,0.3209622709872393,0.4744405872974529,0.5899251825599168,0.0457827105496374,-0.2734773983063172,0.5013650775108794,-0.1921753684149882,0.2618920888917288,0.8037212952283158,0.5062464763286574,-0.9514679292479042,0.1726049608363288,-0.4038753823145788,0.1043098021678474,0.1305352141383332,0.6023268208405917,0.6916085691148454,0.1243775462770876,0.8673828942744604,0.8233441896870207,0.797618543143696,0.7346355836048877,0.0408335310833408,0.9645978868498304,0.3755337501589478,0.6942781703700681,0.5150055300182657,0.1574992655744666,0.2393942972155881,0.6887130607279197,0.4251350724001738,0.5850910589217995,0.9618838043792224,0.9175216281920638,0.2289423820621271,0.6853950928399618,0.507727761286835,0.5019347156020584,0.7237668550814225,0.4865837491712049,0.283308140324351,0.930638552604468,-0.1572240351576122,0.3338339613251443,-0.8122064073457634,0.0915129105643921,0.401705861013473,0.8099071218217218,0.1911448982006501,0.3598473438271425,0.1558606911836479,0.7856587567931612,0.0995633300872031,0.5564023714571289,0.5210702519826257,0.9143129772337688,0.07470223560245,0.3131465516399977,0.6645540391860397,0.483932661357065,-0.5481692295768408,0.226521839679839,0.2963692001030261,0.943785879968032,0.8090876691539284,0.1784831608475731,-0.9556829024002832,0.910647120579593,-0.6082538473866395,0.3429978134313768,-0.4798031376295883,0.0833649774359561,-0.452076932417943,0.0126591103932353,0.7760305220831707,0.1299128450910713,0.7249006470619497,0.1545059564473162,0.760550728273676,0.6007908005904765,0.2900190981429335,0.1603863639465764,Comp Policy 1 - 70
7,0.0061044919983171,0.8132807333786127,0.4492212921958139,0.311685897608995,0.2799114135314718,0.8482178722003904,-0.5862112399293665,0.1328932344317253,0.2584063377945293,0.0300431211640766,0.0777836305911085,0.3868004750356847,0.5594661964810425,0.370552201893161,0.5567999086285378,0.9554965651621392,0.1259524541762115,0.232111840053607,0.7654941778614043,0.1636050617579962,0.9781438406900302,0.3856655354517932,0.3150456466050455,0.040711641234151,-0.2043763328814439,0.39429788065701,-0.8728312425041357,0.798377867216009,0.3821103104995755,0.2093671418660615,-0.9710206692006564,0.9355917969611508,0.4772420852482668,0.5646614840954285,0.60553548657534,0.6268443293362294,0.2471199191554074,0.5460923890895201,0.1168087564186579,0.4686778451572615,-0.509030367902043,0.7714014905523057,-0.057225920586263,0.5576673778692295,0.954387095143746,0.5418020676776866,0.0939506779733004,0.1794847731050375,0.0510037030699582,0.907084207102945,0.1762918295507759,0.1371693209407976,-0.2910790952310133,0.2541594475091216,0.407682244163057,0.2962512532786342,0.1829130669146718,0.1489751272648474,0.6069170178058348,0.7114423486804743,-0.2821914095824286,0.9242582900897964,-0.8382151091861507,0.6402087952261091,0.7712790130210144,0.2261665287983253,0.1287591491268089,0.4826331569904056,0.394217267029545,0.7975676341694354,-0.664253787467896,0.8368034597556754,0.5162127982160394,0.514013395725953,0.03556332056074,0.1876390605607734,-0.8856067504441222,0.4526301097347244,-0.219727847268228,0.5770743079903581,0.176626561107164,0.4570838164095597,0.2934052410732751,0.0150061808245582,0.5756024852147957,0.0457816442470252,-0.6380523563854061,0.4939748279781317,0.94063758309858,0.2886133955160777,0.7952350489793191,0.5016963843088464,-0.8572342144999212,0.7821242276907037,-0.4520120470013673,0.0670356599501492,0.1897412120552456,0.6000764435438719,0.74751743602642,0.0511828130872413,0.9206740120415956,0.8251941181445263,0.795787440552632,0.7345769681819982,-0.0121980048982691,0.4288815593388708,0.3748650131635364,0.6722607919892843,0.4875091423371012,0.1559682942016954,0.3220116479411138,0.7149405424568872,0.1593336039040024,0.5978492257227278,0.9620227563717608,0.7449780501965644,-0.2724683501689918,0.7982369950776669,0.4317181984482501,0.6249133800174996,0.7094934665835246,0.4917988520916113,0.3996739173859204,0.9309394202602486,-0.1405588491383809,0.3480280578569652,-0.0810962260580781,0.0245047103246972,0.6190754957126402,0.8111189034209708,0.2174425459143617,0.3505623961039145,0.6564433917271375,0.7852633880570806,0.061937605653615,0.5351384892468442,-0.6358387827512718,0.8976547241537018,0.4879835690581879,0.1437347687449832,0.6648800745412524,0.5794103711049701,0.643050996773512,0.1789628724207642,0.8890589522330888,0.9173219913570696,0.8510545712267585,0.2062687581601292,-0.8150904174687483,0.9896495150278026,-0.6262760948893309,0.1207765807112788,0.5559216113435325,0.0430155818412142,-0.4664840048752246,0.0017852453404976,-0.6061656595124711,0.1876894237959235,0.7019729857949388,0.6903425503101993,0.1832482449724999,0.616852765559419,0.7176067755981803,0.0890460118061055,Comp Policy 2 - 345
